id,country_id:id,code,name
state_bd_1,base.bd,Dhaka,Dhaka
state_bd_2,base.bd,Faridpur,Faridpur
state_bd_3,base.bd,Gazipur,Gazipur
state_bd_4,base.bd,Gopalganj,Gopalganj
state_bd_5,base.bd,Jamalpur,Jamalpur
state_bd_6,base.bd,Kishoreganj,Kishoreganj
state_bd_7,base.bd,Madaripur,Madaripur
state_bd_8,base.bd,Manikganj,Manikganj
state_bd_9,base.bd,Munshiganj,Munshiganj
state_bd_10,base.bd,Mymensingh,Mymensingh
state_bd_11,base.bd,Narayanganj,Narayanganj
state_bd_12,base.bd,Narsingdi,Narsingdi
state_bd_13,base.bd,Netrokona,Netrokona
state_bd_14,base.bd,Rajbari,Rajbari
state_bd_15,base.bd,Shariatpur,Shariatpur
state_bd_16,base.bd,Sherpur,Sherpur
state_bd_17,base.bd,Tangail,Tangail
state_bd_18,base.bd,Bogura,Bogura
state_bd_19,base.bd,Joypurhat,Joypurhat
state_bd_20,base.bd,Naogaon,Naogaon
state_bd_21,base.bd,Natore,Natore
state_bd_22,base.bd,Nawabganj,Nawabganj
state_bd_23,base.bd,Pabna,Pabna
state_bd_24,base.bd,Rajshahi,Rajshahi
state_bd_25,base.bd,Sirajgonj,Sirajgonj
state_bd_26,base.bd,Dinajpur,Dinajpur
state_bd_27,base.bd,Gaibandha,Gaibandha
state_bd_28,base.bd,Kurigram,Kurigram
state_bd_29,base.bd,Lalmonirhat,Lalmonirhat
state_bd_30,base.bd,Nilphamari,Nilphamari
state_bd_31,base.bd,Panchagarh,Panchagarh
state_bd_32,base.bd,Rangpur,Rangpur
state_bd_33,base.bd,Thakurgaon,Thakurgaon
state_bd_34,base.bd,Barguna,Barguna
state_bd_35,base.bd,Barishal,Barishal
state_bd_36,base.bd,Bhola,Bhola
state_bd_37,base.bd,Jhalokati,Jhalokati
state_bd_38,base.bd,Patuakhali,Patuakhali
state_bd_39,base.bd,Pirojpur,Pirojpur
state_bd_40,base.bd,Bandarban,Bandarban
state_bd_41,base.bd,Brahmanbaria,Brahmanbaria
state_bd_42,base.bd,Chandpur,Chandpur
state_bd_43,base.bd,Chattogram,Chattogram
state_bd_44,base.bd,Cumilla,Cumilla
state_bd_45,base.bd,Cox's Bazar,Cox's Bazar
state_bd_46,base.bd,Feni,Feni
state_bd_47,base.bd,Khagrachari,Khagrachari
state_bd_48,base.bd,Lakshmipur,Lakshmipur
state_bd_49,base.bd,Noakhali,Noakhali
state_bd_50,base.bd,Rangamati,Rangamati
state_bd_51,base.bd,Habiganj,Habiganj
state_bd_52,base.bd,Maulvibazar,Maulvibazar
state_bd_53,base.bd,Sunamganj,Sunamganj
state_bd_54,base.bd,Sylhet,Sylhet
state_bd_55,base.bd,Bagerhat,Bagerhat
state_bd_56,base.bd,Chuadanga,Chuadanga
state_bd_57,base.bd,Jashore,Jashore
state_bd_58,base.bd,Jhenaidah,Jhenaidah
state_bd_59,base.bd,Khulna,Khulna
state_bd_60,base.bd,Kushtia,Kushtia
state_bd_61,base.bd,Magura,Magura
state_bd_62,base.bd,Meherpur,Meherpur
state_bd_63,base.bd,Narail,Narail
state_bd_64,base.bd,Satkhira,Satkhira
